index_setting,Full Address,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Addr,Hour,Sunday Dates,Monday Dates,Tuesday Dates,Wednesday Dates,Thursday Dates,Friday Dates,Time,Friday Date Time,Monday Date Time,Saturday Dates,Saturday Date Time,Sunday Date Time,Thursday Date Time,Tuesday Date Time,Wednesday Date Time,index_setting,geocode,Lat,Lon
2020-01-03 00:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,0,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,0:00:00,1/3/20 0:00,1/6/20 0:00,1/4/20,1/4/20 0:00,1/5/20 0:00,1/2/20 0:00,1/7/20 0:00,1/1/20 0:00,2020-01-03 00:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 01:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,1,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,1:00:00,1/3/20 1:00,1/6/20 1:00,1/4/20,1/4/20 1:00,1/5/20 1:00,1/2/20 1:00,1/7/20 1:00,1/1/20 1:00,2020-01-03 01:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 02:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,2,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,2:00:00,1/3/20 2:00,1/6/20 2:00,1/4/20,1/4/20 2:00,1/5/20 2:00,1/2/20 2:00,1/7/20 2:00,1/1/20 2:00,2020-01-03 02:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 03:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,3,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,3:00:00,1/3/20 3:00,1/6/20 3:00,1/4/20,1/4/20 3:00,1/5/20 3:00,1/2/20 3:00,1/7/20 3:00,1/1/20 3:00,2020-01-03 03:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 04:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,4,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,4:00:00,1/3/20 4:00,1/6/20 4:00,1/4/20,1/4/20 4:00,1/5/20 4:00,1/2/20 4:00,1/7/20 4:00,1/1/20 4:00,2020-01-03 04:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 05:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,5,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,5:00:00,1/3/20 5:00,1/6/20 5:00,1/4/20,1/4/20 5:00,1/5/20 5:00,1/2/20 5:00,1/7/20 5:00,1/1/20 5:00,2020-01-03 05:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 06:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,6,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,6:00:00,1/3/20 6:00,1/6/20 6:00,1/4/20,1/4/20 6:00,1/5/20 6:00,1/2/20 6:00,1/7/20 6:00,1/1/20 6:00,2020-01-03 06:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 07:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,7,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,7:00:00,1/3/20 7:00,1/6/20 7:00,1/4/20,1/4/20 7:00,1/5/20 7:00,1/2/20 7:00,1/7/20 7:00,1/1/20 7:00,2020-01-03 07:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 08:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,8,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,8:00:00,1/3/20 8:00,1/6/20 8:00,1/4/20,1/4/20 8:00,1/5/20 8:00,1/2/20 8:00,1/7/20 8:00,1/1/20 8:00,2020-01-03 08:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 09:00:00,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,9,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,9:00:00,1/3/20 9:00,1/6/20 9:00,1/4/20,1/4/20 9:00,1/5/20 9:00,1/2/20 9:00,1/7/20 9:00,1/1/20 9:00,2020-01-03 09:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 10:00:00,1 Kennedy Rd S,7,9,9,0,4,15,6,1 Kennedy Rd S,10,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,10:00:00,1/3/20 10:00,1/6/20 10:00,1/4/20,1/4/20 10:00,1/5/20 10:00,1/2/20 10:00,1/7/20 10:00,1/1/20 10:00,2020-01-03 10:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
2020-01-03 11:00:00,1 Kennedy Rd S,30,25,21,0,37,30,43,1 Kennedy Rd S,11,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,11:00:00,1/3/20 11:00,1/6/20 11:00,1/4/20,1/4/20 11:00,1/5/20 11:00,1/2/20 11:00,1/7/20 11:00,1/1/20 11:00,2020-01-03 11:00:00,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
