,Full Address,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Addr,Hour,Sunday Dates,Monday Dates,Tuesday Dates,Wednesday Dates,Thursday Dates,Friday Dates,Time,Friday Date Time,Monday Date Time,Saturday Dates,Saturday Date Time,Sunday Date Time,Thursday Date Time,Tuesday Date Time,Wednesday Date Time,index_setting,geocode,Lat,Lon
0,1 Kennedy Rd S,0,0,0,0,0,0,0,1 Kennedy Rd S,0,1/5/20,1/6/20,1/7/20,1/1/20,1/2/20,1/3/20,0:00:00,1/3/20 0:00,1/6/20 0:00,1/4/20,1/4/20 0:00,1/5/20 0:00,1/2/20 0:00,1/7/20 0:00,1/1/20 0:00,2020-01-03,"{'x': -79.25569611653174, 'y': 43.702583795662534}",43.702583795662534,-79.25569611653174
1,10635 Bramalea Rd #3,0,0,0,0,0,0,0,10635 Bramalea Rd #3,0,1/12/20,1/13/20,1/14/20,1/8/20,1/9/20,1/10/20,0:00:00,1/10/20 0:00,1/13/20 0:00,1/11/20,1/11/20 0:00,1/12/20 0:00,1/9/20 0:00,1/14/20 0:00,1/8/20 0:00,2020-01-10,"{'x': -79.72340999999994, 'y': 43.72135000000003}",43.72135000000003,-79.72340999999994
2,120 Clementine Dr #5,0,0,0,0,0,0,0,120 Clementine Dr #5,0,1/19/20,1/20/20,1/21/20,1/15/20,1/16/20,1/17/20,0:00:00,1/17/20 0:00,1/20/20 0:00,1/18/20,1/18/20 0:00,1/19/20 0:00,1/16/20 0:00,1/21/20 0:00,1/15/20 0:00,2020-01-17,"{'x': -79.22881500934116, 'y': 43.7755457634258}",43.7755457634258,-79.22881500934116
3,"126 Wellington Street West, unit 108",0,0,0,0,0,0,0,"126 Wellington Street West, unit 108",0,1/26/20,1/27/20,1/28/20,1/22/20,1/23/20,1/24/20,0:00:00,1/24/20 0:00,1/27/20 0:00,1/25/20,1/25/20 0:00,1/26/20 0:00,1/23/20 0:00,1/28/20 0:00,1/22/20 0:00,2020-01-24,"{'x': -79.3833030256713, 'y': 43.64664282548623}",43.64664282548623,-79.3833030256713
4,1380 Lasalle Boulevard Unit # E2,0,0,0,0,0,0,0,1380 Lasalle Boulevard Unit # E2,0,2/2/20,2/3/20,2/4/20,1/29/20,1/30/20,1/31/20,0:00:00,1/31/20 0:00,2/3/20 0:00,2/1/20,2/1/20 0:00,2/2/20 0:00,1/30/20 0:00,2/4/20 0:00,1/29/20 0:00,2020-01-31,"{'x': -79.38543999999996, 'y': 43.648690000000045}",43.648690000000045,-79.38543999999996
5,140 Hwy 8 Unit 10A,0,0,0,0,0,0,0,140 Hwy 8 Unit 10A,0,2/9/20,2/10/20,2/11/20,2/5/20,2/6/20,2/7/20,0:00:00,2/7/20 0:00,2/10/20 0:00,2/8/20,2/8/20 0:00,2/9/20 0:00,2/6/20 0:00,2/11/20 0:00,2/5/20 0:00,2020-02-07,"{'x': -79.50692534332316, 'y': 43.601552272638266}",43.601552272638266,-79.50692534332316
6,"1447 Water Street, Unit 2&3",0,0,0,0,0,0,0,"1447 Water Street, Unit 2&3",0,2/16/20,2/17/20,2/18/20,2/12/20,2/13/20,2/14/20,0:00:00,2/14/20 0:00,2/17/20 0:00,2/15/20,2/15/20 0:00,2/16/20 0:00,2/13/20 0:00,2/18/20 0:00,2/12/20 0:00,2020-02-14,"{'x': -79.29663975, 'y': 43.680028500000006}",43.680028500000006,-79.29663975
7,1472 Innisfil Beach Road,0,0,0,0,0,0,0,1472 Innisfil Beach Road,0,2/23/20,2/24/20,2/25/20,2/19/20,2/20/20,2/21/20,0:00:00,2/21/20 0:00,2/24/20 0:00,2/22/20,2/22/20 0:00,2/23/20 0:00,2/20/20 0:00,2/25/20 0:00,2/19/20 0:00,2020-02-21,"{'x': -79.53046374709079, 'y': 44.22640447090783}",44.22640447090783,-79.53046374709079
8,1500 Elgin Mills Road East Unit 1,0,0,0,0,0,0,0,1500 Elgin Mills Road East Unit 1,0,3/1/20,3/2/20,3/3/20,2/26/20,2/27/20,2/28/20,0:00:00,2/28/20 0:00,3/2/20 0:00,2/29/20,2/29/20 0:00,3/1/20 0:00,2/27/20 0:00,3/3/20 0:00,2/26/20 0:00,2020-02-28,"{'x': -79.34704744953514, 'y': 43.75522623980035}",43.75522623980035,-79.34704744953514
9,170 Sandalwood Pkwy E,0,0,0,0,0,0,0,170 Sandalwood Pkwy E,0,3/8/20,3/9/20,3/10/20,3/4/20,3/5/20,3/6/20,0:00:00,3/6/20 0:00,3/9/20 0:00,3/7/20,3/7/20 0:00,3/8/20 0:00,3/5/20 0:00,3/10/20 0:00,3/4/20 0:00,2020-03-06,"{'x': -79.35708443140246, 'y': 43.74318331890051}",43.74318331890051,-79.35708443140246
